episode,step,action_index,action_label,reward,loss,done,mission_status,battery_pct,attitude_error,fuel_units,last_action_result
1,1,19,switch_attitude_reference:sun_sensor,0.250000,0.050424,0,degraded,100.000,3.260,50.000,attitude reference set to sun_sensor
1,2,10,reconfigure_power:solar_a,-0.350000,0.022652,0,degraded,100.000,3.410,50.000,solar_a has no active fault to reconfigure
1,3,29,safe_mode,-0.250000,0.009447,0,degraded,100.000,2.560,50.000,safe mode engaged; non-essentials shed
1,4,23,query_power_level:solar_b,0.000000,0.001410,0,degraded,100.000,2.710,50.000,diag: solar_b output=78.5W health=1.00 (panel nominal)
1,5,6,restore_load:heaters,-0.250000,0.012270,0,degraded,100.000,2.860,50.000,heaters already online
1,6,23,query_power_level:solar_b,0.000000,0.000538,0,degraded,100.000,3.010,50.000,diag: solar_b output=77.1W health=1.00 (panel nominal)
1,7,9,reset_power_controller,-0.250000,0.017253,0,degraded,100.000,3.160,50.000,power controller nominal; reset had no effect
1,8,15,recalibrate_star_tracker,0.250000,0.046577,0,degraded,100.000,2.310,50.000,star tracker recalibrated; bias removed
1,9,6,restore_load:heaters,-0.250000,0.000783,0,degraded,100.000,2.460,50.000,heaters already online
1,10,3,shed_load:transponder,-0.250000,0.003773,0,degraded,100.000,2.610,50.000,transponder already offline
1,11,3,shed_load:transponder,-0.250000,0.001403,0,degraded,100.000,2.760,50.000,transponder already offline
1,12,16,cross_validate_attitude,-0.050000,0.009899,0,degraded,100.000,2.910,50.000,diag: ST=2.76deg GY=2.76deg SUN=2.76deg disagree=0.00
1,13,6,restore_load:heaters,-0.250000,0.000201,0,degraded,100.000,3.060,50.000,heaters already online
1,14,24,query_attitude,0.000000,0.007102,0,degraded,100.000,3.210,50.000,diag: mode=nominal err=3.06deg rw=nominal ref=sun_sensor st_bias=0.0 gyro_bias=0.0
1,15,15,recalibrate_star_tracker,-0.250000,0.031433,0,degraded,100.000,3.360,50.000,star tracker nominal; recalibration unnecessary
1,16,28,diagnostic_scan:comms,0.050000,0.005583,0,degraded,100.000,3.510,50.000,diag-scan comms: transponder=offline signal=0.0dB comms_fault=False pending_cycle=False
